transaction_id,reconciliation_status,matched_payout_id,reconciliation_date,last_reviewed,notes
TXN0000061,Partially Reconciled,,2025-04-11,,
TXN0000062,Reconciled,,2024-06-24,,
TXN0000063,Reconciled,,2025-12-20,,
TXN0000064,Unreconciled,,,,Missing supporting documents
TXN0000065,Reconciled,PO0025680,2025-07-18,2024-04-03,
TXN0000066,Partially Reconciled,PO0067871,2025-07-07,2024-09-17,
TXN0000067,Partially Reconciled,,2025-12-04,2024-07-24,
TXN0000068,Reconciled,,2023-05-13,,
TXN0000069,Partially Reconciled,,2025-08-21,2023-07-14,
TXN0000070,Pending Reconciliation,,,2024-03-02,Amount mismatch
TXN0000071,Reconciled,PO0016161,2023-01-20,,
TXN0000072,Reconciled,,2023-06-21,2023-11-21,
TXN0000073,Partially Reconciled,PO0053284,2023-06-26,2025-03-03,
TXN0000074,Reconciled,,2023-02-09,,
TXN0000075,Pending Reconciliation,,,,Amount mismatch
TXN0000076,Unreconciled,,,2024-11-04,
TXN0000077,Partially Reconciled,PO0048085,2025-10-14,2025-10-05,
TXN0000078,Reconciled,PO0030723,2024-08-08,2023-09-11,
TXN0000079,Reconciled,PO0064787,2024-06-21,2024-03-10,
TXN0000080,Partially Reconciled,PO0015967,2024-03-17,,
TXN0000081,Unreconciled,,,2025-06-23,
TXN0000082,Reconciled,,2023-05-19,,
TXN0000083,Reconciled,PO0087030,2024-01-27,2025-03-21,
TXN0000084,Reconciled,,2025-08-29,,
TXN0000085,Reconciled,PO0023242,2024-07-15,2023-12-13,
TXN0000086,Partially Reconciled,,2023-03-18,,
TXN0000087,Pending Reconciliation,,,,Pending bank confirmation
TXN0000088,Reconciled,PO0073386,2024-04-30,,
TXN0000089,Partially Reconciled,PO0099265,2024-12-06,2023-05-18,
TXN0000090,Reconciled,PO0007610,2024-01-10,2025-06-25,
TXN0000091,Partially Reconciled,PO0034241,2024-08-31,2023-09-25,
TXN0000092,Reconciled,,2023-01-03,2025-08-01,
TXN0000093,Partially Reconciled,,2025-10-26,2023-12-07,
TXN0000094,Pending Reconciliation,,,2025-02-18,Pending bank confirmation
TXN0000095,Pending Reconciliation,,,,Missing supporting documents
TXN0000096,Partially Reconciled,,2025-04-04,2023-10-25,
TXN0000097,Reconciled,,2024-09-11,,
TXN0000098,Partially Reconciled,PO0066317,2024-07-28,2023-02-10,
TXN0000099,Reconciled,PO0015167,2023-08-07,,
TXN0000100,Reconciled,PO0036246,2023-02-08,,
TXN0000101,Unreconciled,,,2023-03-27,Missing supporting documents
TXN0000102,Reconciled,,2025-11-27,2024-12-05,
TXN0000103,Partially Reconciled,PO0080790,2024-12-12,2025-11-17,
TXN0000104,Reconciled,,2024-05-25,2024-05-13,
TXN0000105,Reconciled,PO0074539,2024-12-13,,
TXN0000106,Pending Reconciliation,,,,
TXN0000107,Partially Reconciled,PO0052336,2024-02-20,,
TXN0000108,Unreconciled,,,2024-05-26,
TXN0000109,Reconciled,,2024-01-05,2023-05-28,
TXN0000110,Reconciled,,2024-10-01,2025-01-03,
TXN0000111,Partially Reconciled,,2024-04-03,2025-04-25,
TXN0000112,Pending Reconciliation,,,2023-12-26,Awaiting vendor documentation
TXN0000113,Reconciled,,2024-06-29,2025-12-06,
TXN0000114,Partially Reconciled,,2024-06-04,2023-06-14,
TXN0000115,Reconciled,PO0055012,2025-09-03,2023-12-17,
TXN0000116,Reconciled,,2025-01-27,2025-01-16,
TXN0000117,Partially Reconciled,PO0024077,2024-05-20,,
TXN0000118,Partially Reconciled,,2025-09-01,2025-02-16,
TXN0000119,Pending Reconciliation,,,2025-02-17,Pending bank confirmation
TXN0000120,Partially Reconciled,PO0004307,2024-09-29,,
TXN0000121,Pending Reconciliation,,,2023-06-19,Pending bank confirmation
TXN0000122,Pending Reconciliation,,,2024-04-20,Missing supporting documents
TXN0000123,Reconciled,PO0067016,2025-05-19,2025-03-27,
TXN0000124,Reconciled,PO0005177,2025-10-19,2025-05-19,
TXN0000125,Reconciled,PO0084068,2025-02-19,,
TXN0000126,Reconciled,PO0061678,2023-02-28,,
TXN0000127,Unreconciled,,,2023-08-13,
TXN0000128,Unreconciled,,,,Missing supporting documents
TXN0000129,Reconciled,,2023-06-29,2025-03-12,
TXN0000130,Reconciled,,2023-10-11,,
TXN0000131,Partially Reconciled,PO0093881,2025-05-10,,
TXN0000132,Reconciled,,2024-10-22,2024-04-06,
TXN0000133,Partially Reconciled,PO0076167,2024-05-28,,
TXN0000134,Reconciled,,2024-01-30,2025-08-11,
TXN0000135,Reconciled,PO0086950,2024-10-15,2025-01-14,
TXN0000136,Pending Reconciliation,,,2023-05-19,Amount mismatch
TXN0000137,Partially Reconciled,,2023-10-25,2025-01-13,
TXN0000138,Pending Reconciliation,,,,Pending bank confirmation
TXN0000139,Reconciled,,2024-09-03,,
TXN0000140,Partially Reconciled,PO0020820,2024-03-20,2023-05-02,
TXN0000141,Reconciled,PO0083482,2023-10-03,,
TXN0000142,Reconciled,PO0099658,2025-03-24,,
TXN0000143,Unreconciled,,,,
TXN0000144,Unreconciled,,,2025-06-25,
TXN0000145,Partially Reconciled,PO0093619,2024-04-26,2023-12-21,
TXN0000146,Partially Reconciled,PO0013424,2025-01-19,2024-07-22,
TXN0000147,Partially Reconciled,PO0052818,2023-01-22,2024-09-11,
TXN0000148,Partially Reconciled,,2025-12-06,2024-05-27,
TXN0000149,Partially Reconciled,,2025-12-05,,
TXN0000150,Reconciled,,2024-02-21,2024-02-03,
TXN0000151,Reconciled,,2024-05-25,2023-06-04,
TXN0000152,Reconciled,PO0083685,2025-02-10,2024-06-01,
TXN0000153,Partially Reconciled,PO0067033,2025-03-24,,
TXN0000154,Reconciled,PO0057070,2025-06-04,,
TXN0000155,Reconciled,PO0039188,2023-08-23,,
TXN0000156,Pending Reconciliation,,,2023-05-26,Missing supporting documents
TXN0000157,Reconciled,PO0023842,2024-01-02,,
TXN0000158,Pending Reconciliation,,,2024-02-28,Missing supporting documents
TXN0000159,Reconciled,PO0037440,2024-03-05,2025-12-20,
TXN0000160,Reconciled,,2024-07-10,2023-12-26,
TXN0000161,Reconciled,PO0080750,2023-09-14,2024-06-02,
TXN0000162,Reconciled,PO0096629,2024-12-21,2024-09-21,
TXN0000163,Reconciled,PO0061019,2025-02-02,2023-05-26,
TXN0000164,Pending Reconciliation,,,2025-02-24,
TXN0000165,Reconciled,,2025-08-27,2024-03-13,
TXN0000166,Unreconciled,,,2024-08-03,Pending bank confirmation
TXN0000167,Partially Reconciled,PO0059248,2023-11-11,,
TXN0000168,Reconciled,PO0096476,2023-04-02,,
TXN0000169,Reconciled,PO0001656,2024-01-01,2023-01-13,
TXN0000170,Partially Reconciled,PO0033193,2024-08-25,,
TXN0000171,Reconciled,PO0006024,2024-01-21,,
TXN0000172,Reconciled,,2023-03-18,,
TXN0000173,Reconciled,,2024-03-13,2025-03-20,
TXN0000174,Partially Reconciled,PO0041004,2025-08-20,,
TXN0000175,Reconciled,PO0033654,2024-12-29,2024-12-18,
TXN0000176,Reconciled,PO0082329,2024-04-10,2024-03-01,
TXN0000177,Partially Reconciled,PO0072622,2023-06-10,2023-10-27,
TXN0000178,Unreconciled,,,2025-10-17,Pending bank confirmation
TXN0000179,Reconciled,,2024-09-24,2023-01-23,
TXN0000180,Pending Reconciliation,,,2024-08-28,
TXN0000181,Reconciled,PO0008809,2023-03-17,2024-05-21,
TXN0000182,Unreconciled,,,,
TXN0000183,Reconciled,PO0035940,2023-08-17,,
TXN0000184,Pending Reconciliation,,,,Amount mismatch
TXN0000185,Reconciled,,2023-08-24,,
TXN0000186,Pending Reconciliation,,,2025-09-19,Amount mismatch
TXN0000187,Pending Reconciliation,,,2025-09-24,Amount mismatch
TXN0000188,Reconciled,,2025-12-15,,
TXN0000189,Reconciled,PO0085544,2023-07-19,2024-08-04,
TXN0000190,Partially Reconciled,,2025-09-25,,
TXN0000191,Partially Reconciled,PO0023670,2025-09-16,2023-08-28,
TXN0000192,Reconciled,PO0015331,2023-02-23,2025-10-28,
TXN0000193,Reconciled,PO0002590,2025-09-03,2025-03-15,
TXN0000194,Unreconciled,,,,Missing supporting documents
TXN0000195,Unreconciled,,,2023-06-02,Amount mismatch
TXN0000196,Partially Reconciled,PO0055650,2025-10-20,2023-01-13,
TXN0000197,Reconciled,,2023-02-10,2024-01-04,
TXN0000198,Partially Reconciled,,2023-04-22,,
TXN0000199,Reconciled,PO0099530,2025-05-29,,
TXN0000200,Reconciled,PO0034318,2023-12-12,,
TXN0000201,Partially Reconciled,PO0002995,2025-10-15,,
TXN0000202,Reconciled,PO0042311,2023-11-09,2024-02-23,
TXN0000203,Pending Reconciliation,,,2023-01-25,Missing supporting documents
TXN0000204,Reconciled,PO0033757,2024-10-04,,
TXN0000205,Pending Reconciliation,,,2023-06-06,Amount mismatch
TXN0000206,Reconciled,PO0063622,2023-06-04,,
TXN0000207,Reconciled,PO0070429,2025-03-28,,
TXN0000208,Pending Reconciliation,,,,Amount mismatch
TXN0000209,Reconciled,PO0088849,2025-04-09,,
TXN0000210,Partially Reconciled,,2024-05-10,,
TXN0000211,Reconciled,PO0030996,2023-05-12,2023-06-13,
TXN0000212,Pending Reconciliation,,,2024-10-04,Missing supporting documents
TXN0000213,Reconciled,,2025-02-14,2025-05-13,
TXN0000214,Pending Reconciliation,,,2024-11-08,
TXN0000215,Reconciled,PO0095118,2025-08-26,2025-11-12,
TXN0000216,Partially Reconciled,PO0012581,2024-06-20,2023-03-06,
TXN0000217,Partially Reconciled,,2024-06-23,,
TXN0000218,Reconciled,,2023-01-23,2023-03-08,
TXN0000219,Partially Reconciled,PO0087553,2025-03-10,2024-02-17,
TXN0000220,Reconciled,PO0012830,2025-04-09,2023-12-11,
TXN0000221,Reconciled,,2024-05-29,2023-11-29,
TXN0000222,Partially Reconciled,,2023-12-21,,
TXN0000223,Partially Reconciled,,2024-10-24,,
TXN0000224,Reconciled,PO0086235,2025-08-15,,
TXN0000225,Pending Reconciliation,,,2025-03-23,Amount mismatch
TXN0000226,Partially Reconciled,PO0094150,2023-11-13,,
TXN0000227,Partially Reconciled,PO0053019,2023-06-15,2023-03-26,
TXN0000228,Pending Reconciliation,,,,Pending bank confirmation
TXN0000229,Reconciled,,2024-01-27,,
TXN0000230,Partially Reconciled,PO0050305,2025-12-27,2024-05-06,
TXN0000231,Unreconciled,,,2025-01-24,
TXN0000232,Partially Reconciled,PO0004715,2023-05-04,,
TXN0000233,Pending Reconciliation,,,,Pending bank confirmation
TXN0000234,Pending Reconciliation,,,2025-03-09,Awaiting vendor documentation
TXN0000235,Unreconciled,,,,Awaiting vendor documentation
TXN0000236,Partially Reconciled,,2023-12-03,2024-11-03,
TXN0000237,Pending Reconciliation,,,,Awaiting vendor documentation
TXN0000238,Partially Reconciled,,2025-12-03,2023-05-28,
TXN0000239,Pending Reconciliation,,,2025-03-20,Amount mismatch
TXN0000240,Partially Reconciled,PO0074252,2023-10-11,2023-06-19,
TXN0000241,Unreconciled,,,2025-11-08,Amount mismatch
TXN0000242,Partially Reconciled,PO0051895,2023-06-26,,
TXN0000243,Reconciled,PO0032547,2024-06-23,,
TXN0000244,Reconciled,,2023-06-14,2025-08-13,
TXN0000245,Partially Reconciled,,2024-08-03,,
TXN0000246,Reconciled,,2025-03-12,2023-09-16,
TXN0000247,Unreconciled,,,2023-02-21,Pending bank confirmation
TXN0000248,Reconciled,PO0014880,2023-10-22,,
TXN0000249,Partially Reconciled,,2025-12-09,2025-02-16,
TXN0000250,Pending Reconciliation,,,2023-09-30,Amount mismatch
TXN0000251,Unreconciled,,,,Pending bank confirmation
TXN0000252,Pending Reconciliation,,,2024-06-24,Missing supporting documents
TXN0000253,Reconciled,PO0097404,2025-03-19,,
TXN0000254,Pending Reconciliation,,,2023-04-03,
TXN0000255,Unreconciled,,,2024-12-06,
TXN0000256,Reconciled,,2024-11-08,2025-03-21,
TXN0000257,Pending Reconciliation,,,,Amount mismatch
TXN0000258,Partially Reconciled,,2023-10-02,2023-05-17,
TXN0000259,Reconciled,PO0081542,2025-05-14,2024-09-22,
TXN0000260,Reconciled,,2024-07-30,2024-03-10,
TXN0000261,Partially Reconciled,PO0019281,2025-06-05,,
TXN0000262,Reconciled,PO0023587,2024-05-17,,
TXN0000263,Unreconciled,,,,
TXN0000264,Reconciled,PO0002529,2023-04-12,2024-09-21,
TXN0000265,Reconciled,,2025-08-08,2025-05-28,
TXN0000266,Reconciled,PO0016939,2023-08-08,2025-12-17,
TXN0000267,Partially Reconciled,,2023-03-12,2023-03-30,
TXN0000268,Partially Reconciled,PO0026681,2023-08-10,,
TXN0000269,Partially Reconciled,,2025-05-31,2025-07-17,
TXN0000270,Reconciled,PO0028440,2023-06-10,2024-11-13,
TXN0000271,Reconciled,PO0075981,2023-04-26,,
TXN0000272,Unreconciled,,,2024-01-02,
TXN0000273,Reconciled,PO0011479,2025-08-28,2024-10-01,
TXN0000274,Partially Reconciled,,2025-06-10,2023-05-30,
TXN0000275,Reconciled,PO0028868,2025-09-19,,
TXN0000276,Pending Reconciliation,,,,Pending bank confirmation
TXN0000277,Reconciled,PO0041451,2023-07-27,,
TXN0000278,Unreconciled,,,2023-10-19,Amount mismatch
TXN0000279,Pending Reconciliation,,,,
TXN0000280,Reconciled,,2024-05-16,2025-12-05,
TXN0000281,Pending Reconciliation,,,,
TXN0000282,Reconciled,PO0034683,2024-08-21,,
TXN0000283,Reconciled,,2024-06-30,,
TXN0000284,Reconciled,,2025-12-25,,
TXN0000285,Reconciled,PO0069217,2024-05-06,,
TXN0000286,Unreconciled,,,,Missing supporting documents
TXN0000287,Partially Reconciled,PO0010349,2023-01-03,2025-08-06,
TXN0000288,Unreconciled,,,,
TXN0000289,Partially Reconciled,,2023-10-21,2025-02-26,
TXN0000290,Partially Reconciled,PO0072745,2025-10-30,2024-06-22,
TXN0000291,Partially Reconciled,,2024-06-17,2024-12-10,
TXN0000292,Reconciled,PO0060839,2024-01-07,2024-02-11,
TXN0000293,Pending Reconciliation,,,,Amount mismatch
TXN0000294,Partially Reconciled,PO0045300,2024-04-10,2023-11-11,
TXN0000295,Reconciled,,2024-01-30,2024-04-24,
TXN0000296,Pending Reconciliation,,,,Awaiting vendor documentation
TXN0000297,Partially Reconciled,PO0062087,2024-07-27,,
TXN0000298,Unreconciled,,,,Awaiting vendor documentation
TXN0000299,Reconciled,PO0075899,2024-10-18,,
TXN0000300,Reconciled,,2023-10-14,,
TXN0000301,Reconciled,,2023-09-07,,
TXN0000302,Reconciled,PO0025453,2023-11-07,2024-05-26,
TXN0000303,Reconciled,PO0082940,2025-01-21,2025-01-30,
TXN0000304,Pending Reconciliation,,,2024-07-30,Missing supporting documents
TXN0000305,Reconciled,PO0040820,2023-08-01,2025-09-07,
TXN0000306,Pending Reconciliation,,,,Awaiting vendor documentation
TXN0000307,Partially Reconciled,,2023-09-07,2025-09-04,
TXN0000308,Partially Reconciled,PO0073383,2025-08-07,,
TXN0000309,Reconciled,,2023-05-08,,
TXN0000310,Reconciled,PO0023919,2025-07-22,,
TXN0000311,Reconciled,PO0074689,2024-10-20,2024-10-25,
TXN0000312,Reconciled,PO0019183,2025-02-03,2025-12-13,
TXN0000313,Reconciled,PO0033917,2024-05-19,2025-01-12,
TXN0000314,Reconciled,PO0072678,2023-02-05,2024-10-17,
TXN0000315,Reconciled,PO0081898,2025-05-07,2024-11-20,
TXN0000316,Reconciled,PO0066266,2024-08-07,,
TXN0000317,Pending Reconciliation,,,2023-09-27,Missing supporting documents
TXN0000318,Unreconciled,,,2023-08-28,Amount mismatch
TXN0000319,Reconciled,PO0014115,2023-02-09,2023-09-24,
TXN0000320,Reconciled,PO0062339,2024-07-29,2025-01-21,
TXN0000321,Reconciled,PO0082268,2025-01-10,,
TXN0000322,Unreconciled,,,,Awaiting vendor documentation
TXN0000323,Reconciled,,2024-10-26,2025-05-25,
TXN0000324,Reconciled,PO0072418,2023-08-03,,
TXN0000325,Partially Reconciled,PO0097747,2025-10-09,2023-04-03,
TXN0000326,Reconciled,PO0014651,2023-06-30,,
TXN0000327,Reconciled,PO0080387,2023-03-01,,
TXN0000328,Reconciled,,2025-02-23,,
TXN0000329,Partially Reconciled,PO0053403,2024-02-16,2023-10-03,
TXN0000330,Partially Reconciled,,2023-02-02,2024-01-09,
TXN0000331,Reconciled,,2024-02-15,2023-05-01,
TXN0000332,Reconciled,PO0060382,2025-02-01,2025-04-11,
TXN0000333,Reconciled,PO0032210,2024-07-20,,
TXN0000334,Reconciled,,2025-04-21,,
TXN0000335,Reconciled,PO0099674,2024-05-01,,
TXN0000336,Reconciled,,2023-11-23,,
TXN0000337,Pending Reconciliation,,,2024-04-06,Amount mismatch
TXN0000338,Reconciled,PO0058304,2024-10-15,2025-07-10,
TXN0000339,Pending Reconciliation,,,2023-11-22,Pending bank confirmation
TXN0000340,Partially Reconciled,PO0029972,2023-09-09,,
TXN0000341,Reconciled,PO0080114,2025-06-18,2025-11-09,
TXN0000342,Partially Reconciled,PO0048426,2024-12-08,,
TXN0000343,Unreconciled,,,2023-06-22,Awaiting vendor documentation
TXN0000344,Pending Reconciliation,,,,
TXN0000345,Partially Reconciled,,2025-03-01,2025-11-03,
TXN0000346,Reconciled,PO0001463,2023-12-18,2024-12-23,
TXN0000347,Partially Reconciled,,2023-03-23,2025-09-06,
TXN0000348,Reconciled,PO0016178,2024-12-29,,
TXN0000349,Unreconciled,,,2023-08-30,
TXN0000350,Reconciled,,2024-09-21,2023-03-18,
TXN0000351,Reconciled,PO0011415,2025-05-03,2024-01-10,
TXN0000352,Partially Reconciled,,2024-01-08,,
TXN0000353,Partially Reconciled,,2023-04-01,,
TXN0000354,Reconciled,PO0069196,2025-10-03,2023-04-04,
TXN0000355,Unreconciled,,,,
TXN0000356,Partially Reconciled,PO0062245,2023-10-01,,
TXN0000357,Reconciled,,2023-06-26,2024-01-29,
TXN0000358,Reconciled,,2025-03-29,2024-03-10,
TXN0000359,Unreconciled,,,2025-04-17,Awaiting vendor documentation
TXN0000360,Unreconciled,,,2025-03-25,Pending bank confirmation
TXN0000361,Unreconciled,,,,
TXN0000362,Partially Reconciled,PO0033895,2024-08-23,2024-12-31,
TXN0000363,Pending Reconciliation,,,2025-05-20,
TXN0000364,Partially Reconciled,,2024-08-31,2023-01-26,
TXN0000365,Reconciled,,2025-04-17,,
TXN0000366,Reconciled,,2024-03-26,,
TXN0000367,Partially Reconciled,PO0099422,2025-10-12,2025-03-31,
TXN0000368,Partially Reconciled,PO0038193,2024-12-21,2024-06-15,
TXN0000369,Reconciled,PO0041246,2024-01-07,,
TXN0000370,Reconciled,PO0087461,2025-12-12,,
TXN0000371,Unreconciled,,,2025-09-10,Missing supporting documents
TXN0000372,Unreconciled,,,,
TXN0000373,Reconciled,PO0032951,2024-12-14,2025-09-01,
TXN0000374,Reconciled,PO0030761,2023-08-24,2024-01-02,
TXN0000375,Reconciled,,2025-02-23,,
TXN0000376,Reconciled,,2024-09-10,2024-02-19,
TXN0000377,Unreconciled,,,2023-05-29,Amount mismatch
TXN0000378,Reconciled,PO0058095,2024-01-31,,
TXN0000379,Pending Reconciliation,,,,Pending bank confirmation
TXN0000380,Partially Reconciled,,2025-10-15,2025-07-22,
TXN0000381,Reconciled,,2024-10-27,,
TXN0000382,Unreconciled,,,2025-11-26,Awaiting vendor documentation
TXN0000383,Pending Reconciliation,,,,Pending bank confirmation
TXN0000384,Reconciled,PO0049854,2024-07-29,2024-02-09,
TXN0000385,Partially Reconciled,PO0054481,2023-08-09,2025-02-02,
TXN0000386,Reconciled,PO0005758,2023-09-02,2023-08-10,
TXN0000387,Unreconciled,,,2023-05-01,Missing supporting documents
TXN0000388,Reconciled,,2025-07-13,2023-04-10,
TXN0000389,Reconciled,PO0045877,2025-02-23,,
TXN0000390,Unreconciled,,,,
TXN0000391,Reconciled,,2023-01-24,2023-04-07,
TXN0000392,Reconciled,,2023-11-18,2024-03-22,
TXN0000393,Reconciled,PO0069685,2025-06-05,2023-01-07,
TXN0000394,Pending Reconciliation,,,,Missing supporting documents
TXN0000395,Reconciled,,2025-11-14,,
TXN0000396,Pending Reconciliation,,,,Missing supporting documents
TXN0000397,Partially Reconciled,PO0059652,2025-08-19,2025-08-26,
TXN0000398,Pending Reconciliation,,,2025-06-11,Amount mismatch
TXN0000399,Reconciled,,2024-07-14,2024-03-13,
TXN0000400,Reconciled,PO0043844,2025-02-21,,
TXN0000401,Pending Reconciliation,,,2024-04-23,Amount mismatch
TXN0000402,Pending Reconciliation,,,,Pending bank confirmation
TXN0000403,Partially Reconciled,,2023-09-10,,
TXN0000404,Pending Reconciliation,,,2023-04-01,
TXN0000405,Pending Reconciliation,,,2024-06-15,Amount mismatch
TXN0000406,Partially Reconciled,PO0079638,2023-11-18,,
TXN0000407,Reconciled,PO0016871,2025-06-11,2025-07-22,
TXN0000408,Reconciled,PO0097628,2023-01-04,2024-05-01,
TXN0000409,Reconciled,,2025-12-19,2024-12-09,
TXN0000410,Reconciled,PO0053221,2023-03-17,2024-10-13,
TXN0000411,Pending Reconciliation,,,,Missing supporting documents
TXN0000412,Pending Reconciliation,,,,
TXN0000413,Reconciled,PO0035811,2023-01-30,,
TXN0000414,Reconciled,PO0005070,2025-07-06,,
TXN0000415,Reconciled,PO0008308,2024-01-19,,
TXN0000416,Partially Reconciled,PO0071433,2025-03-08,2025-05-30,
TXN0000417,Reconciled,PO0085393,2025-07-12,,
TXN0000418,Reconciled,PO0000952,2024-12-18,2025-07-20,
TXN0000419,Partially Reconciled,PO0001765,2024-03-06,,
TXN0000420,Reconciled,,2025-03-09,2023-08-14,
TXN0000421,Pending Reconciliation,,,2023-08-09,Pending bank confirmation
TXN0000422,Unreconciled,,,2024-04-19,Amount mismatch
TXN0000423,Reconciled,,2023-09-13,2024-02-17,
TXN0000424,Pending Reconciliation,,,2023-07-03,
TXN0000425,Pending Reconciliation,,,2024-03-06,Pending bank confirmation
TXN0000426,Partially Reconciled,PO0020998,2024-11-14,,
TXN0000427,Pending Reconciliation,,,2024-01-15,
TXN0000428,Unreconciled,,,2024-07-05,Awaiting vendor documentation
TXN0000429,Reconciled,,2023-10-27,2025-09-04,
TXN0000430,Partially Reconciled,PO0095712,2025-11-25,2023-12-23,
TXN0000431,Unreconciled,,,,
TXN0000432,Unreconciled,,,2023-08-17,Pending bank confirmation
TXN0000433,Pending Reconciliation,,,,Awaiting vendor documentation
TXN0000434,Reconciled,PO0086057,2024-05-07,2024-01-07,
TXN0000435,Reconciled,PO0087706,2024-03-13,,
TXN0000436,Partially Reconciled,,2025-08-20,2025-01-29,
TXN0000437,Partially Reconciled,PO0013377,2024-10-16,,
TXN0000438,Pending Reconciliation,,,2023-12-21,Amount mismatch
TXN0000439,Pending Reconciliation,,,,
TXN0000440,Partially Reconciled,,2023-06-04,2024-04-20,
TXN0000441,Partially Reconciled,PO0067668,2025-07-07,2025-01-12,
TXN0000442,Pending Reconciliation,,,2023-03-06,Amount mismatch
TXN0000443,Reconciled,,2025-09-28,2024-10-08,
TXN0000444,Reconciled,,2025-02-12,2023-02-20,
TXN0000445,Reconciled,PO0046873,2024-04-18,,
TXN0000446,Reconciled,PO0030676,2024-08-03,,
TXN0000447,Reconciled,PO0059669,2023-11-22,,
TXN0000448,Reconciled,,2023-09-27,,
TXN0000449,Partially Reconciled,,2024-10-20,,
TXN0000450,Reconciled,,2023-05-02,,
TXN0000451,Partially Reconciled,PO0004263,2024-09-07,2025-04-05,
TXN0000452,Partially Reconciled,,2024-06-16,2024-08-03,
TXN0000453,Reconciled,PO0008231,2024-11-27,2024-01-01,
TXN0000454,Unreconciled,,,,Pending bank confirmation
TXN0000455,Partially Reconciled,PO0047422,2023-07-27,,
TXN0000456,Reconciled,,2024-03-17,,
TXN0000457,Reconciled,PO0035019,2024-01-24,2023-12-23,
TXN0000458,Partially Reconciled,PO0054949,2025-08-18,,
TXN0000459,Partially Reconciled,,2023-02-22,2024-12-02,
TXN0000460,Reconciled,PO0037359,2025-08-07,,
TXN0000461,Partially Reconciled,,2023-06-24,2024-05-07,
