vendor_id,vendor_name,industry,country,status
V00081,Data Digital 5763,Healthcare,Germany,On Hold
V00082,Cloud Tech 6411,Finance,Canada,Active
V00083,Global Supply 7244,Technology,India,On Hold
V00084,Pro Supply 3328,Healthcare,Germany,Active
V00085,Pro Systems 5243,Logistics,UK,On Hold
V00086,Enterprises Pro 6791,Healthcare,Germany,Active
V00087,Cloud Solutions 3243,Education,Germany,Active
V00088,Data Data 5030,Education,India,Active
V00089,Enterprises Enterprises 3543,Education,India,On Hold
V00090,Pro Systems 7718,Telecommunications,Germany,Active
V00091,Cloud Smart 2880,Logistics,UK,On Hold
V00092,Pro Pro 5591,Logistics,Canada,Active
V00093,Services Hub 3362,Consulting,USA,Active
V00094,Services Smart 1293,Telecommunications,Germany,On Hold
V00095,Services Supply 6391,Telecommunications,Germany,Active
V00096,Solutions Pro 190,Logistics,Germany,Active
V00097,Solutions Hub 8586,Telecommunications,USA,On Hold
V00098,Services Center 2088,Telecommunications,Canada,Inactive
V00099,Pro Cloud 9257,Finance,UK,Inactive
V00100,Data Center 8370,Education,India,Inactive
V00101,Solutions Supply 7877,Telecommunications,UK,Active
V00102,Center Pro 4643,Energy,Germany,Active
V00103,Enterprises Smart 1369,Retail,Canada,Active
V00104,Systems Systems 8949,Logistics,Canada,Active
V00105,Services Digital 2603,Manufacturing,USA,Inactive
V00106,Digital Systems 8990,Telecommunications,Germany,Active
V00107,Services Center 6983,Education,India,Active
V00108,Center Hub 9532,Education,Germany,Active
V00109,Systems Enterprises 6489,Education,India,On Hold
V00110,Hub Data 3713,Telecommunications,Canada,Active
V00111,Digital Smart 575,Education,UK,Inactive
V00112,Supply Solutions 7757,Consulting,India,On Hold
V00113,Global Digital 9797,Finance,USA,Active
V00114,Pro Digital 2323,Telecommunications,Canada,Active
V00115,Enterprises Digital 5463,Manufacturing,Germany,Active
V00116,Systems Hub 6311,Retail,Germany,Active
V00117,Center Tech 7805,Technology,India,Active
V00118,Systems Services 1224,Technology,USA,Active
V00119,Services Center 433,Finance,Canada,Active
V00120,Solutions Smart 1974,Finance,Canada,Inactive
V00121,Supply Enterprises 6143,Consulting,India,On Hold
V00122,Supply Supply 1976,Consulting,UK,Active
V00123,Data Global 5211,Finance,Germany,Inactive
V00124,Supply Services 1345,Finance,Canada,Active
V00125,Supply Hub 5041,Finance,USA,On Hold
V00126,Hub Global 5788,Energy,Germany,Active
V00127,Tech Cloud 5690,Technology,Germany,Inactive
V00128,Tech Digital 6034,Telecommunications,Canada,Inactive
V00129,Solutions Supply 8648,Retail,India,On Hold
V00130,Hub Smart 7716,Education,India,Active
V00131,Systems Center 4122,Logistics,UK,Inactive
V00132,Services Hub 7713,Finance,India,Inactive
V00133,Systems Global 8198,Healthcare,Canada,Inactive
V00134,Services Systems 4332,Healthcare,UK,On Hold
V00135,Supply Enterprises 9206,Technology,India,Active
V00136,Tech Services 6758,Telecommunications,India,Active
V00137,Supply Smart 8141,Telecommunications,USA,Active
V00138,Enterprises Services 6725,Manufacturing,UK,On Hold
V00139,Systems Smart 9168,Energy,UK,Inactive
V00140,Supply Cloud 5519,Healthcare,Germany,Active
V00141,Enterprises Enterprises 3877,Logistics,Canada,Active
V00142,Tech Supply 8879,Consulting,Canada,Active
V00143,Supply Smart 4630,Finance,India,On Hold
V00144,Enterprises Tech 3280,Retail,Canada,Active
V00145,Solutions Enterprises 331,Energy,Canada,Active
V00146,Global Global 9166,Retail,Canada,Inactive
V00147,Tech Center 300,Finance,UK,Inactive
V00148,Smart Smart 5682,Consulting,USA,Active
V00149,Center Smart 1969,Logistics,Germany,Inactive
V00150,Tech Data 978,Consulting,Canada,On Hold
V00151,Enterprises Tech 4166,Logistics,India,Inactive
V00152,Data Data 3797,Energy,Germany,Inactive
V00153,Smart Enterprises 9742,Education,UK,On Hold
V00154,Data Global 1725,Manufacturing,Canada,Active
V00155,Pro Tech 2673,Manufacturing,Canada,On Hold
V00156,Tech Solutions 143,Education,Germany,On Hold
V00157,Smart Enterprises 634,Manufacturing,UK,Active
V00158,Supply Center 7538,Logistics,Canada,Active
V00159,Hub Hub 9763,Manufacturing,Germany,Active
V00160,Cloud Services 2541,Retail,Canada,Active
V00161,Global Solutions 5139,Finance,India,Active
V00162,Smart Tech 7779,Retail,Germany,Active
V00163,Cloud Cloud 8190,Telecommunications,USA,On Hold
V00164,Global Digital 5380,Finance,UK,Active
V00165,Tech Services 9524,Finance,USA,Active
V00166,Data Global 2970,Telecommunications,India,Inactive
V00167,Enterprises Solutions 9690,Education,Germany,Active
V00168,Smart Systems 6790,Healthcare,UK,Active
V00169,Center Solutions 5503,Education,Germany,Active
V00170,Pro Digital 9112,Technology,Germany,Active
V00171,Systems Enterprises 5396,Logistics,Germany,On Hold
V00172,Center Global 8989,Telecommunications,Germany,Active
V00173,Services Cloud 6027,Finance,Germany,Inactive
V00174,Hub Global 3435,Retail,India,Active
V00175,Enterprises Smart 8041,Logistics,USA,On Hold
V00176,Hub Services 2694,Retail,India,Active
V00177,Cloud Digital 1627,Manufacturing,USA,Inactive
V00178,Tech Pro 2622,Telecommunications,UK,On Hold
V00179,Supply Enterprises 6907,Telecommunications,Germany,Active
V00180,Smart Cloud 2469,Education,Canada,On Hold
V00181,Cloud Supply 2336,Logistics,UK,Inactive
V00182,Systems Hub 8418,Retail,USA,Active
V00183,Supply Enterprises 9716,Finance,Germany,Active
V00184,Smart Cloud 8035,Healthcare,UK,On Hold
V00185,Hub Cloud 6280,Telecommunications,UK,Active
V00186,Supply Services 9468,Education,Canada,Inactive
V00187,Global Systems 7849,Education,Germany,Active
V00188,Smart Global 2168,Energy,India,Active
V00189,Center Tech 7313,Logistics,India,Inactive
V00190,Global Supply 2461,Education,Canada,Active
V00191,Smart Hub 4442,Healthcare,India,Inactive
V00192,Pro Tech 5483,Energy,Germany,Active
V00193,Pro Supply 8094,Energy,USA,On Hold
V00194,Tech Services 4808,Manufacturing,USA,Inactive
V00195,Tech Hub 1746,Telecommunications,Canada,Active
V00196,Global Global 5414,Technology,UK,Active
V00197,Systems Digital 2485,Manufacturing,India,Inactive
V00198,Data Pro 3050,Consulting,Canada,Active
V00199,Data Center 6367,Finance,Canada,Inactive
V00200,Data Solutions 3904,Telecommunications,UK,Inactive
V00201,Enterprises Pro 253,Telecommunications,UK,On Hold
V00202,Solutions Tech 7337,Healthcare,India,Active
V00203,Pro Digital 4197,Telecommunications,UK,Active
V00204,Digital Center 8016,Logistics,Canada,Inactive
V00205,Data Systems 9517,Retail,UK,Active
V00206,Center Pro 6584,Retail,USA,On Hold
V00207,Center Pro 903,Finance,Germany,Active
V00208,Hub Hub 3870,Finance,UK,Active
V00209,Pro Services 4206,Consulting,USA,Active
V00210,Enterprises Hub 7322,Technology,India,Active
V00211,Supply Solutions 1576,Retail,UK,Inactive
V00212,Solutions Services 2265,Energy,UK,On Hold
V00213,Cloud Enterprises 2795,Retail,Germany,Active
V00214,Supply Center 5649,Logistics,Germany,Active
V00215,Solutions Hub 3796,Education,India,Active
V00216,Tech Hub 6564,Technology,UK,On Hold
V00217,Tech Smart 6138,Retail,India,Inactive
V00218,Center Pro 6186,Logistics,Canada,Inactive
V00219,Global Data 9298,Healthcare,India,Active
V00220,Pro Tech 7706,Retail,Germany,Active
V00221,Solutions Global 709,Retail,Germany,Active
V00222,Tech Services 8907,Consulting,Germany,Inactive
V00223,Systems Pro 8950,Education,India,Active
V00224,Digital Pro 1722,Telecommunications,India,Inactive
V00225,Enterprises Global 6170,Manufacturing,Germany,Inactive
V00226,Services Center 6042,Logistics,UK,On Hold
V00227,Pro Systems 1092,Education,UK,Active
V00228,Tech Center 7550,Logistics,Canada,On Hold
V00229,Global Global 5564,Manufacturing,Canada,On Hold
V00230,Services Tech 9180,Manufacturing,India,Active
V00231,Center Center 3917,Healthcare,Canada,On Hold
V00232,Global Enterprises 2470,Consulting,India,Active
V00233,Hub Solutions 1901,Technology,Canada,Active
V00234,Systems Hub 3998,Finance,UK,Active
V00235,Solutions Enterprises 958,Consulting,Germany,On Hold
V00236,Tech Supply 1141,Telecommunications,Germany,Active
V00237,Cloud Data 1886,Telecommunications,India,Active
V00238,Data Global 8643,Retail,Germany,Active
V00239,Global Smart 6680,Education,USA,Inactive
V00240,Supply Smart 1304,Logistics,UK,On Hold
V00241,Solutions Tech 2167,Retail,India,On Hold
V00242,Cloud Supply 5427,Education,India,On Hold
V00243,Enterprises Smart 8382,Finance,Germany,Active
V00244,Hub Supply 1974,Energy,Canada,Inactive
V00245,Smart Services 6879,Healthcare,Germany,Inactive
V00246,Digital Supply 1657,Healthcare,Germany,Active
V00247,Pro Enterprises 6232,Consulting,Germany,Active
V00248,Tech Center 1498,Logistics,Germany,Active
V00249,Supply Supply 6205,Consulting,India,Active
V00250,Data Cloud 9302,Healthcare,USA,Inactive
V00251,Systems Center 7029,Technology,UK,On Hold
V00252,Enterprises Systems 1797,Finance,India,Active
V00253,Solutions Pro 8000,Manufacturing,USA,Active
V00254,Center Cloud 6122,Logistics,UK,On Hold
V00255,Services Hub 7130,Energy,India,On Hold
V00256,Pro Pro 9221,Technology,India,Active
V00257,Global Solutions 4577,Retail,UK,Active
V00258,Global Solutions 2447,Finance,Germany,Active
V00259,Solutions Supply 602,Logistics,India,Active
V00260,Digital Digital 7532,Healthcare,Canada,Active
V00261,Enterprises Supply 5414,Finance,India,Active
V00262,Global Solutions 2679,Finance,USA,Active
V00263,Enterprises Smart 7047,Telecommunications,India,Inactive
V00264,Digital Enterprises 3631,Energy,USA,Active
V00265,Digital Tech 4740,Finance,Germany,On Hold
V00266,Pro Enterprises 844,Manufacturing,Germany,On Hold
V00267,Global Global 3449,Retail,Canada,Active
V00268,Hub Enterprises 4842,Healthcare,USA,Active
V00269,Smart Supply 7155,Consulting,Canada,Inactive
V00270,Cloud Supply 3870,Energy,India,Active
V00271,Tech Digital 793,Education,USA,Inactive
V00272,Tech Center 5229,Finance,Germany,On Hold
V00273,Digital Supply 6943,Retail,USA,Inactive
V00274,Global Systems 2915,Finance,Germany,Active
V00275,Tech Digital 1834,Manufacturing,Germany,On Hold
V00276,Digital Cloud 1388,Education,UK,Active
V00277,Services Systems 2854,Logistics,India,Active
V00278,Cloud Cloud 3276,Healthcare,UK,Active
V00279,Services Tech 2499,Retail,Canada,Active
V00280,Data Solutions 1334,Consulting,Germany,Inactive
V00281,Hub Data 9594,Telecommunications,India,On Hold
V00282,Systems Center 5279,Consulting,Germany,Active
V00283,Smart Smart 5061,Retail,India,Active
V00284,Systems Cloud 1315,Retail,Germany,Inactive
V00285,Global Global 6141,Retail,USA,Active
V00286,Data Data 8407,Education,Germany,On Hold
V00287,Cloud Hub 772,Telecommunications,India,Active
V00288,Systems Data 7892,Energy,Canada,Active
V00289,Smart Tech 5726,Logistics,India,Active
V00290,Global Services 7272,Telecommunications,India,On Hold
V00291,Data Solutions 6062,Healthcare,UK,Inactive
V00292,Digital Hub 5643,Finance,USA,Active
V00293,Tech Systems 1648,Energy,Germany,Active
V00294,Enterprises Supply 9974,Consulting,UK,Active
V00295,Data Pro 2417,Healthcare,UK,Inactive
V00296,Solutions Data 1488,Retail,India,Inactive
V00297,Pro Hub 5481,Consulting,India,Active
V00298,Pro Pro 7037,Energy,UK,Active
V00299,Systems Enterprises 3053,Manufacturing,UK,Inactive
V00300,Services Services 2353,Consulting,USA,Active
V00301,Center Hub 1757,Energy,India,On Hold
V00302,Global Pro 5617,Finance,Canada,On Hold
V00303,Digital Solutions 2758,Consulting,India,Active
V00304,Supply Smart 815,Education,UK,Active
V00305,Smart Data 4768,Telecommunications,Canada,On Hold
V00306,Services Enterprises 7784,Manufacturing,UK,On Hold
V00307,Smart Smart 4716,Education,India,On Hold
V00308,Digital Solutions 3371,Finance,Canada,Active
V00309,Global Pro 7973,Healthcare,India,Active
V00310,Supply Center 8552,Logistics,UK,Active
V00311,Hub Solutions 4569,Telecommunications,India,Active
V00312,Center Digital 1602,Manufacturing,Germany,Active
V00313,Global Digital 972,Education,India,Active
V00314,Services Digital 1437,Healthcare,Canada,Active
V00315,Systems Tech 5593,Consulting,Canada,Active
V00316,Enterprises Center 7840,Consulting,Germany,Inactive
V00317,Data Global 1398,Technology,UK,Active
V00318,Center Solutions 9091,Finance,India,Inactive
V00319,Tech Hub 4820,Manufacturing,UK,Active
V00320,Global Services 6978,Finance,Germany,Active
V00321,Tech Center 8289,Finance,India,Active
V00322,Pro Cloud 9521,Manufacturing,Canada,Active
V00323,Digital Global 5880,Manufacturing,India,Inactive
V00324,Solutions Pro 1502,Energy,UK,Active
V00325,Cloud Cloud 8412,Energy,India,Active
V00326,Digital Center 7802,Technology,Germany,Active
V00327,Enterprises Supply 366,Healthcare,USA,Active
V00328,Services Supply 1798,Finance,UK,Active
V00329,Global Systems 9045,Healthcare,Canada,Inactive
V00330,Supply Smart 3086,Consulting,USA,Inactive
V00331,Global Enterprises 3402,Technology,Canada,Active
V00332,Systems Enterprises 8544,Education,India,Inactive
V00333,Enterprises Global 3231,Retail,UK,Active
V00334,Center Pro 5538,Retail,USA,Active
V00335,Digital Digital 7304,Education,UK,Active
V00336,Smart Supply 8251,Healthcare,India,Active
V00337,Hub Tech 7055,Logistics,Germany,On Hold
V00338,Center Solutions 9037,Retail,UK,Active
V00339,Tech Systems 4943,Retail,Germany,On Hold
V00340,Supply Digital 2830,Telecommunications,UK,Inactive
V00341,Global Supply 5876,Finance,Germany,Active
V00342,Pro Hub 1039,Logistics,Germany,Active
V00343,Cloud Hub 2721,Technology,Canada,On Hold
V00344,Pro Hub 7279,Technology,Canada,Active
V00345,Services Hub 6101,Healthcare,Germany,On Hold
V00346,Global Data 2613,Telecommunications,UK,Active
V00347,Smart Hub 1359,Finance,Canada,On Hold
V00348,Systems Digital 5250,Retail,Canada,Active
V00349,Global Supply 3148,Telecommunications,India,Inactive
V00350,Cloud Tech 4388,Retail,Germany,Active
V00351,Data Enterprises 8147,Manufacturing,USA,Active
V00352,Center Tech 7506,Consulting,Germany,Active
V00353,Hub Pro 5336,Healthcare,USA,On Hold
V00354,Cloud Enterprises 5014,Consulting,Canada,Active
V00355,Cloud Services 2088,Manufacturing,Canada,Active
V00356,Hub Smart 530,Healthcare,India,On Hold
V00357,Systems Smart 9138,Consulting,India,Active
V00358,Tech Enterprises 6623,Telecommunications,India,Inactive
V00359,Hub Digital 9519,Logistics,Canada,Active
V00360,Pro Tech 7472,Telecommunications,India,Active
V00361,Solutions Center 9132,Finance,Canada,Active
V00362,Digital Cloud 1007,Logistics,India,Active
V00363,Enterprises Solutions 2753,Healthcare,Canada,Active
V00364,Cloud Enterprises 1392,Retail,Canada,On Hold
V00365,Enterprises Solutions 5061,Finance,India,Active
V00366,Cloud Pro 2862,Finance,India,Active
V00367,Solutions Pro 5631,Finance,USA,Active
V00368,Tech Global 9549,Retail,Canada,On Hold
V00369,Digital Data 596,Telecommunications,India,Active
V00370,Pro Enterprises 8012,Manufacturing,Germany,Active
V00371,Smart Tech 1081,Consulting,Germany,Inactive
V00372,Smart Smart 3442,Healthcare,India,Active
V00373,Systems Center 5331,Healthcare,Germany,Active
V00374,Hub Systems 8537,Energy,USA,Active
V00375,Services Smart 2107,Retail,Germany,Active
V00376,Solutions Tech 929,Retail,Germany,On Hold
V00377,Digital Services 2716,Healthcare,India,Active
V00378,Services Hub 2710,Telecommunications,India,Inactive
V00379,Smart Enterprises 8248,Technology,USA,Inactive
V00380,Cloud Smart 4044,Manufacturing,India,Active
V00381,Global Global 4709,Telecommunications,India,Inactive
V00382,Enterprises Cloud 233,Logistics,Germany,Active
V00383,Enterprises Supply 6092,Education,UK,Active
V00384,Digital Global 9443,Energy,Canada,Active
V00385,Cloud Enterprises 1304,Education,India,Inactive
V00386,Hub Cloud 4682,Finance,India,Active
V00387,Solutions Tech 6553,Healthcare,UK,On Hold
V00388,Systems Hub 2463,Manufacturing,India,On Hold
V00389,Digital Cloud 759,Technology,USA,Active
V00390,Supply Systems 7861,Energy,Germany,Active
V00391,Data Cloud 2390,Healthcare,India,Active
V00392,Solutions Digital 5002,Finance,UK,On Hold
V00393,Center Cloud 8821,Telecommunications,India,Active
V00394,Smart Center 372,Healthcare,UK,Active
V00395,Digital Data 5140,Technology,India,Inactive
V00396,Enterprises Pro 9577,Finance,Canada,Active
V00397,Data Smart 2893,Energy,India,Inactive
V00398,Solutions Center 4068,Technology,India,Active
V00399,Services Global 7325,Healthcare,Germany,Active
V00400,Digital Supply 3440,Education,India,On Hold
V00401,Smart Center 1120,Consulting,India,Active
V00402,Cloud Systems 7937,Energy,Germany,Active
V00403,Solutions Smart 8834,Healthcare,India,Active
V00404,Pro Hub 4431,Finance,Germany,Active
V00405,Services Enterprises 9243,Retail,Canada,Active
V00406,Hub Enterprises 3496,Telecommunications,UK,Inactive
V00407,Systems Cloud 4580,Retail,USA,On Hold
V00408,Pro Cloud 6320,Education,UK,Active
V00409,Enterprises Global 4812,Logistics,UK,Inactive
V00410,Pro Enterprises 7949,Manufacturing,Canada,On Hold
V00411,Enterprises Cloud 4550,Consulting,USA,On Hold
V00412,Supply Data 4020,Manufacturing,USA,On Hold
V00413,Services Pro 3914,Technology,USA,Inactive
V00414,Systems Supply 7839,Logistics,Canada,Active
V00415,Cloud Solutions 6766,Telecommunications,Germany,Active
V00416,Hub Enterprises 5362,Retail,USA,Active
V00417,Pro Data 3904,Energy,USA,Active
V00418,Digital Center 2980,Technology,Germany,Inactive
V00419,Solutions Supply 4842,Technology,USA,Active
V00420,Data Data 1858,Healthcare,UK,Inactive
V00421,Pro Cloud 8690,Telecommunications,Canada,On Hold
V00422,Smart Enterprises 3259,Logistics,UK,Active
V00423,Supply Smart 4315,Consulting,USA,Active
V00424,Hub Enterprises 9402,Manufacturing,Canada,On Hold
V00425,Center Pro 6743,Education,India,Active
V00426,Tech Digital 1662,Consulting,Canada,Inactive
V00427,Systems Services 211,Retail,Germany,Active
V00428,Smart Hub 4474,Healthcare,UK,On Hold
V00429,Supply Data 287,Retail,UK,Active
V00430,Global Pro 2036,Telecommunications,UK,Active
V00431,Digital Pro 8333,Retail,USA,Active
V00432,Systems Data 3718,Manufacturing,Canada,Inactive
V00433,Solutions Smart 6221,Education,India,Inactive
V00434,Hub Cloud 3678,Manufacturing,India,Active
V00435,Cloud Smart 8753,Healthcare,USA,On Hold
V00436,Tech Global 9072,Energy,Canada,On Hold
V00437,Cloud Solutions 2795,Healthcare,India,Inactive
V00438,Tech Pro 3465,Finance,Germany,Active
V00439,Cloud Smart 1011,Telecommunications,Canada,On Hold
V00440,Digital Smart 9339,Technology,India,Inactive
V00441,Pro Hub 5149,Technology,Germany,Active
V00442,Center Global 3670,Finance,USA,Active
V00443,Digital Systems 1144,Energy,USA,Active
V00444,Smart Global 4803,Education,Canada,Active
V00445,Hub Pro 6987,Healthcare,Germany,Inactive
V00446,Center Digital 6254,Logistics,India,Active
V00447,Pro Center 5797,Logistics,Canada,On Hold
V00448,Digital Cloud 2186,Manufacturing,USA,Active
V00449,Enterprises Smart 9020,Education,India,Inactive
V00450,Center Services 4155,Telecommunications,UK,Active
V00451,Enterprises Services 1948,Technology,Germany,On Hold
V00452,Hub Global 4043,Manufacturing,USA,Active
V00453,Data Global 7414,Finance,USA,Active
V00454,Supply Global 6690,Telecommunications,Canada,On Hold
V00455,Services Hub 1024,Consulting,India,Active
V00456,Services Center 9538,Healthcare,India,On Hold
V00457,Hub Pro 5353,Manufacturing,UK,Active
V00458,Pro Cloud 3721,Education,UK,Active
V00459,Global Cloud 9793,Consulting,Germany,On Hold
V00460,Smart Global 5742,Education,India,Active
V00461,Supply Digital 6788,Consulting,UK,Inactive
V00462,Solutions Hub 8913,Telecommunications,Canada,Active
V00463,Enterprises Center 2465,Telecommunications,USA,On Hold
V00464,Digital Digital 9230,Energy,Canada,Inactive
V00465,Services Enterprises 3431,Healthcare,USA,Inactive
V00466,Center Systems 1614,Energy,Canada,Active
V00467,Enterprises Digital 9978,Technology,USA,Active
V00468,Hub Hub 9726,Energy,Canada,Inactive
V00469,Services Center 5555,Retail,USA,Active
V00470,Services Supply 2022,Telecommunications,Canada,On Hold
V00471,Supply Services 6598,Manufacturing,India,Active
V00472,Hub Enterprises 6336,Telecommunications,India,Active
V00473,Enterprises Enterprises 5992,Energy,Germany,Inactive
V00474,Tech Hub 7792,Healthcare,Canada,Active
V00475,Systems Digital 849,Finance,Canada,Active
V00476,Global Enterprises 9165,Finance,India,Inactive
V00477,Enterprises Solutions 3314,Healthcare,Canada,Inactive
V00478,Data Center 4126,Telecommunications,India,Active
V00479,Enterprises Hub 8105,Telecommunications,Germany,Active
V00480,Supply Hub 5870,Consulting,Canada,On Hold
V00481,Smart Solutions 8982,Technology,India,Active
V00482,Center Center 1317,Technology,USA,Inactive
V00483,Solutions Center 3891,Logistics,Canada,Active
V00484,Services Cloud 7571,Healthcare,USA,On Hold
V00485,Pro Pro 8016,Telecommunications,USA,Active
V00486,Cloud Cloud 6839,Technology,USA,On Hold
V00487,Supply Enterprises 8877,Retail,USA,On Hold
V00488,Center Supply 7154,Consulting,USA,Active
V00489,Cloud Solutions 4048,Manufacturing,India,On Hold
V00490,Enterprises Center 5907,Retail,Germany,Active
V00491,Systems Digital 7620,Finance,Canada,Active
V00492,Enterprises Pro 1420,Technology,USA,Inactive
V00493,Digital Digital 9155,Telecommunications,USA,Active
V00494,Supply Solutions 1454,Telecommunications,Germany,Active
V00495,Data Center 1662,Energy,USA,Active
V00496,Services Center 9386,Telecommunications,UK,Active
V00497,Tech Pro 4693,Energy,India,Active
V00498,Solutions Center 5252,Technology,Canada,On Hold
V00499,Solutions Hub 6625,Logistics,UK,Active
V00500,Data Services 9384,Education,India,Active
V00501,Digital Hub 2392,Logistics,India,Active
V00502,Global Tech 7261,Manufacturing,USA,Active
V00503,Data Hub 9858,Education,UK,Active
V00504,Pro Enterprises 7481,Telecommunications,Canada,Active
V00505,Cloud Digital 7175,Consulting,India,Inactive
V00506,Tech Hub 4939,Manufacturing,USA,Active
V00507,Enterprises Solutions 6325,Consulting,Germany,Active
V00508,Systems Tech 1599,Technology,UK,Inactive
V00509,Systems Hub 4519,Logistics,Canada,Active
V00510,Solutions Digital 7453,Energy,India,On Hold
V00511,Digital Tech 530,Logistics,UK,On Hold
V00512,Tech Data 9898,Healthcare,Germany,Active
V00513,Enterprises Digital 6453,Logistics,India,Active
V00514,Data Cloud 2878,Education,Canada,Active
V00515,Enterprises Enterprises 4497,Telecommunications,Canada,Active
V00516,Solutions Digital 4621,Education,UK,Inactive
V00517,Hub Tech 6016,Retail,Canada,Inactive
V00518,Data Data 3303,Telecommunications,USA,Active
V00519,Enterprises Global 6583,Healthcare,India,Inactive
V00520,Hub Center 5499,Telecommunications,UK,Inactive
V00521,Center Center 9838,Consulting,UK,Active
V00522,Data Supply 3390,Telecommunications,UK,Active
V00523,Digital Systems 4875,Telecommunications,India,Active
V00524,Systems Digital 4692,Education,UK,Active
V00525,Data Services 9803,Energy,Canada,On Hold
V00526,Global Supply 7663,Manufacturing,Germany,Active
V00527,Center Supply 1233,Education,Germany,Active
V00528,Pro Enterprises 4065,Retail,Canada,Inactive
V00529,Hub Digital 1311,Telecommunications,India,Inactive
V00530,Data Digital 8855,Energy,Germany,On Hold
V00531,Global Hub 5990,Energy,India,Active
V00532,Tech Hub 4167,Healthcare,Canada,On Hold
V00533,Global Data 6647,Healthcare,Germany,Active
V00534,Global Tech 4339,Manufacturing,India,On Hold
V00535,Cloud Data 9524,Manufacturing,Germany,Active
V00536,Digital Smart 9743,Energy,Canada,Active
V00537,Global Smart 1812,Retail,Germany,Active
